dune exec -- bench/run_bench.exe --onlyip --dir /home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/ --time-limit 3 --robust-time-limit  --logs bench_logs_original_repro  --mode ordered-fallback
problem                                                      | expected           | rating       | ip                    
-------------------------------------------------------------------------------------------------------------------------
SYN000+1.p                                                   | Theorem            | 0.18 v9.1.0  | Unsatisfiable (0.010s)
SYN000+2.p                                                   | Satisfiable        | 0.83 v9.0.0  | Error (0.006s)        
SYN000-1.p                                                   | Unsatisfiable      | 0.18 v9.1.0  | Unsatisfiable (0.007s)
SYN000-2.p                                                   | Satisfiable        | 0.75 v9.1.0  | Error (0.006s)        
SYN000-3.p                                                   | Satisfiable        | ? v8.0.0     | Error (0.006s)        
SYN000^1.p                                                   | Theorem            | 0.22 v9.1.0  | Error (0.006s)        
SYN000^2.p                                                   | Satisfiable        | ? v9.2.1     | Error (0.006s)        
SYN000^3.p                                                   | Satisfiable        | 1.00 v7.1.0  | Error (0.007s)        
SYN000^6.p                                                   | Unknown            | 1.00 v9.0.0  | Error (0.006s)        
SYN000^7.p                                                   | Unknown            | 1.00 v9.0.0  | Error (0.007s)        
SYN000_1.p                                                   | Theorem            | 0.12 v9.1.0  | Error (0.007s)        
SYN000_2.p                                                   | Satisfiable        | 1.00 v9.1.0  | Error (0.007s)        
SYN000_3.p                                                   | Satisfiable        | 0.75 v9.0.0  | Error (0.007s)        
SYN000_4.p                                                   | Satisfiable        | 1.00 v9.1.0  | Error (0.006s)        
SYN000_5.p                                                   | Theorem            | 0.62 v7.5.0  | Error (0.006s)        
SYN000_6.p                                                   | Unknown            | 1.00 v9.0.0  | Error (0.007s)        
SYN000_7.p                                                   | Unknown            | 1.00 v9.0.0  | Error (0.006s)        
SYN001+1.p                                                   | Theorem            | 0.00 v2.1.0  | Unsatisfiable (0.007s)
SYN001-1.005.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.025s)
SYN001^4.001.p                                               | CounterSatisfiable | 0.67 v9.0.0  | Error (0.008s)        
SYN001^4.002.p                                               | CounterSatisfiable | 0.67 v9.0.0  | Error (0.008s)        
SYN001^4.003.p                                               | CounterSatisfiable | 0.67 v9.0.0  | Error (0.007s)        
SYN001^4.004.p                                               | CounterSatisfiable | 0.67 v9.0.0  | Error (0.008s)        
SYN002-1.007.008.p                                           | Unsatisfiable      | 0.00 v6.3.0  | Unsatisfiable (0.028s)
SYN003-1.006.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.015s)
SYN004-1.007.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.013s)
SYN005-1.010.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.034s)
SYN006-1.p                                                   | Unsatisfiable      | 0.00 v6.3.0  | Unsatisfiable (0.010s)
SYN007+1.014.p                                               | Theorem            | 0.00 v7.3.0  | Error (5.079s)        
SYN007^4.014.p                                               | CounterSatisfiable | 1.00 v4.0.0  | Error (0.007s)        
SYN008-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.011s)
SYN009-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.013s)
SYN009-2.p                                                   | Unsatisfiable      | 0.00 v2.5.0  | Unsatisfiable (0.011s)
SYN009-3.p                                                   | Unsatisfiable      | 0.00 v2.5.0  | Unsatisfiable (0.025s)
SYN009-4.p                                                   | Unsatisfiable      | 0.00 v2.5.0  | Unsatisfiable (0.018s)
SYN010-1.005.005.p                                           | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.678s)
SYN011-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.015s)
SYN012-1.p                                                   | Unsatisfiable      | 0.08 v9.1.0  | Unsatisfiable (0.029s)
SYN013-1.p                                                   | Unsatisfiable      | 0.05 v9.0.0  | Timeout (3.008s)      
SYN014-1.p                                                   | Unsatisfiable      | 0.09 v9.1.0  | Unsatisfiable (2.761s)
SYN014-2.p                                                   | Unsatisfiable      | 0.00 v2.2.1  | Unsatisfiable (0.019s)
SYN015-1.p                                                   | Unsatisfiable      | 0.09 v9.1.0  | Unsatisfiable (2.475s)
SYN015-2.p                                                   | Unsatisfiable      | 0.00 v7.4.0  | Timeout (3.010s)      
SYN028-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.010s)
SYN029-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN030-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.011s)
SYN031-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.010s)
SYN032-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.009s)
SYN033-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.029s)
SYN034-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.010s)
SYN035-1.p                                                   | Unsatisfiable      | 0.06 v9.1.0  | Unsatisfiable (0.009s)
SYN036+1.p                                                   | Theorem            | 0.05 v9.1.0  | Timeout (3.032s)      
SYN036+2.p                                                   | Theorem            | 0.10 v9.1.0  | Timeout (3.032s)      
SYN036-1.p                                                   | Unsatisfiable      | 0.23 v9.1.0  | Timeout (3.012s)      
SYN036-2.p                                                   | Satisfiable        | 0.00 v3.5.0  | Timeout (3.013s)      
SYN036-3.p                                                   | Unsatisfiable      | 0.08 v9.1.0  | Timeout (3.009s)      
SYN036-4.p                                                   | Unsatisfiable      | 0.15 v9.1.0  | Timeout (3.009s)      
SYN036^5.p                                                   | Theorem            | 0.25 v8.2.0  | Error (0.007s)        
SYN036^7.p                                                   | Theorem            | 1.00 v7.1.0  | Error (0.007s)        
SYN037-1.p                                                   | Unsatisfiable      | 0.08 v9.1.0  | Timeout (3.008s)      
SYN037-2.p                                                   | Unsatisfiable      | 0.08 v9.1.0  | Unsatisfiable (0.684s)
SYN038-1.p                                                   | Unsatisfiable      | 0.08 v9.1.0  | Unsatisfiable (0.035s)
SYN039-1.p                                                   | Unsatisfiable      | 0.08 v9.1.0  | Timeout (3.010s)      
SYN040+1.p                                                   | Theorem            | 0.00 v2.1.0  | Unsatisfiable (0.008s)
SYN040-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.007s)
SYN040^4.p                                                   | CounterSatisfiable | 0.67 v9.0.0  | Error (0.007s)        
SYN041+1.p                                                   | Theorem            | 0.00 v2.3.0  | Unsatisfiable (0.007s)
SYN041-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.007s)
SYN041^4.p                                                   | Theorem            | 0.11 v9.1.0  | Error (0.007s)        
SYN044+1.p                                                   | Theorem            | 0.00 v2.1.0  | Unsatisfiable (0.008s)
SYN044-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN044^4.p                                                   | Theorem            | 0.11 v9.1.0  | Error (0.007s)        
SYN045+1.p                                                   | Theorem            | 0.00 v2.1.0  | Unsatisfiable (0.007s)
SYN045-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN045^4.p                                                   | Theorem            | 0.11 v9.1.0  | Error (0.007s)        
SYN045^7.p                                                   | Theorem            | 0.11 v9.1.0  | Error (0.007s)        
SYN046+1.p                                                   | Theorem            | 0.00 v2.1.0  | Unsatisfiable (0.008s)
SYN046-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.007s)
SYN046^4.p                                                   | CounterSatisfiable | 0.67 v9.0.0  | Error (0.007s)        
SYN047+1.p                                                   | Theorem            | 0.00 v4.1.0  | Unsatisfiable (0.008s)
SYN047-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN047^4.p                                                   | CounterSatisfiable | 0.67 v9.0.0  | Error (0.007s)        
SYN048+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.007s)
SYN048-1.p                                                   | Unsatisfiable      | 0.06 v9.1.0  | Unsatisfiable (0.006s)
SYN049+1.p                                                   | Theorem            | 0.00 v9.1.0  | Unsatisfiable (0.007s)
SYN049-1.p                                                   | Unsatisfiable      | 0.00 v5.3.0  | Unsatisfiable (0.007s)
SYN049^5.p                                                   | Theorem            | 0.08 v9.1.0  | Error (0.006s)        
SYN050+1.p                                                   | Theorem            | 0.00 v9.1.0  | Unsatisfiable (0.009s)
SYN050-1.p                                                   | Unsatisfiable      | 0.06 v9.1.0  | Unsatisfiable (0.008s)
SYN051+1.p                                                   | Theorem            | 0.00 v5.4.0  | Unsatisfiable (0.008s)
SYN051-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN051^5.p                                                   | Theorem            | 0.08 v9.1.0  | Error (0.007s)        
SYN052+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.007s)
SYN052-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN052^7.p                                                   | Theorem            | 0.11 v9.1.0  | Error (0.006s)        
SYN053+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.008s)
SYN053-1.p                                                   | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.008s)
SYN054+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.008s)
SYN054-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN055+1.p                                                   | ContradictoryAxioms | 0.00 v8.1.0  | Unsatisfiable (0.009s)
SYN055-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.013s)
SYN055^5.p                                                   | Theorem            | 0.08 v9.1.0  | Error (0.008s)        
SYN056+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.053s)
SYN056-1.p                                                   | Satisfiable        | 0.00 v2.1.0  | GaveUp (0.132s)       
SYN056^5.p                                                   | Theorem            | 0.08 v9.1.0  | Error (0.007s)        
SYN057+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.014s)
SYN057-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.014s)
SYN057^5.p                                                   | Theorem            | 0.00 v6.2.0  | Error (0.008s)        
SYN058+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.010s)
SYN058-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.010s)
SYN058^5.p                                                   | Theorem            | 0.00 v6.2.0  | Error (0.006s)        
SYN059+1.p                                                   | Theorem            | 0.00 v2.1.0  | Unsatisfiable (0.080s)
SYN059-1.p                                                   | Satisfiable        | 0.00 v2.2.0  | GaveUp (0.054s)       
SYN059^5.p                                                   | Theorem            | 0.08 v9.1.0  | Error (0.009s)        
SYN060+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.009s)
SYN060-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN061+1.p                                                   | Theorem            | 0.00 v4.1.0  | Unsatisfiable (0.008s)
SYN061-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.008s)
SYN062+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.009s)
SYN062-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.010s)
SYN063+1.p                                                   | Theorem            | 0.00 v5.5.0  | Unsatisfiable (0.010s)
SYN063-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.011s)
SYN063-2.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.007s)
SYN064+1.p                                                   | Theorem            | 0.00 v5.5.0  | Unsatisfiable (0.007s)
SYN064-1.p                                                   | Unsatisfiable      | 0.06 v9.1.0  | Unsatisfiable (0.007s)
SYN064^5.p                                                   | Theorem            | 0.08 v9.1.0  | Error (0.007s)        
SYN065+1.p                                                   | Theorem            | 0.00 v6.3.0  | Unsatisfiable (0.008s)
SYN065-1.p                                                   | Unsatisfiable      | 0.00 v6.1.0  | Unsatisfiable (0.010s)
SYN066+1.p                                                   | Theorem            | 0.05 v9.1.0  | Unsatisfiable (0.009s)
SYN066-1.p                                                   | Unsatisfiable      | 0.00 v7.1.0  | Unsatisfiable (0.010s)
SYN067+1.p                                                   | Theorem            | 0.15 v9.1.0  | Timeout (3.010s)      
SYN067-1.p                                                   | Unsatisfiable      | 0.31 v9.1.0  | Timeout (3.010s)      
SYN067-2.p                                                   | Unsatisfiable      | 0.31 v9.1.0  | Timeout (3.010s)      
SYN067-3.p                                                   | Unsatisfiable      | 0.15 v9.1.0  | Timeout (3.009s)      
SYN068+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.012s)
SYN068-1.p                                                   | Unsatisfiable      | 0.00 v5.4.0  | Unsatisfiable (0.011s)
SYN069+1.p                                                   | ContradictoryAxioms | 0.00 v6.3.0  | Unsatisfiable (0.014s)
SYN069-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.111s)
SYN070+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.029s)
SYN070-1.p                                                   | Unsatisfiable      | 0.00 v6.3.0  | Unsatisfiable (0.072s)
SYN071+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.012s)
SYN071-1.p                                                   | Unsatisfiable      | 0.00 v6.1.0  | Unsatisfiable (0.010s)
SYN072+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.012s)
SYN072-1.p                                                   | Unsatisfiable      | 0.00 v6.1.0  | Unsatisfiable (0.013s)
SYN073+1.p                                                   | Theorem            | 0.00 v9.1.0  | Unsatisfiable (0.008s)
SYN073-1.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.007s)
SYN074+1.p                                                   | Theorem            | 0.18 v9.1.0  | Unsatisfiable (0.535s)
SYN074-1.p                                                   | Unsatisfiable      | 0.05 v9.1.0  | Unsatisfiable (0.325s)
SYN075+1.p                                                   | Theorem            | 0.18 v9.1.0  | Unsatisfiable (0.298s)
SYN075-1.p                                                   | Unsatisfiable      | 0.05 v9.0.0  | Timeout (3.009s)      
SYN076+1.p                                                   | Theorem            | 0.82 v9.1.0  | Unsatisfiable (0.137s)
SYN076-1.p                                                   | Unsatisfiable      | 0.82 v9.1.0  | Unsatisfiable (0.021s)
SYN077+1.p                                                   | Theorem            | 0.18 v9.1.0  | Unsatisfiable (0.032s)
SYN077-1.p                                                   | Unsatisfiable      | 0.09 v9.1.0  | Unsatisfiable (0.033s)
SYN078+1.p                                                   | Theorem            | 0.06 v9.0.0  | Unsatisfiable (0.100s)
SYN078-1.p                                                   | Satisfiable        | 0.12 v9.1.0  | Timeout (3.008s)      
SYN079+1.p                                                   | Theorem            | 0.00 v5.3.0  | Unsatisfiable (0.009s)
SYN079-1.p                                                   | Unsatisfiable      | 0.00 v5.3.0  | Unsatisfiable (0.009s)
SYN080+1.p                                                   | Theorem            | 0.00 v6.3.0  | Unsatisfiable (0.007s)
SYN080-1.p                                                   | Unsatisfiable      | 0.04 v9.1.0  | Unsatisfiable (0.008s)
SYN081+1.p                                                   | Theorem            | 0.00 v9.1.0  | Unsatisfiable (0.007s)
SYN081-1.p                                                   | Unsatisfiable      | 0.00 v6.3.0  | Unsatisfiable (0.007s)
SYN082+1.p                                                   | Theorem            | 0.00 v9.1.0  | Unsatisfiable (0.016s)
SYN082-1.p                                                   | Unsatisfiable      | 0.00 v7.1.0  | Unsatisfiable (0.014s)
SYN083+1.p                                                   | Theorem            | 0.09 v9.1.0  | Unsatisfiable (0.008s)
SYN083-1.p                                                   | Unsatisfiable      | 0.04 v9.1.0  | Unsatisfiable (0.007s)
SYN084+1.p                                                   | Theorem            | 0.00 v9.1.0  | Unsatisfiable (0.048s)
SYN084-1.p                                                   | Satisfiable        | 0.00 v5.4.0  | Timeout (3.008s)      
SYN084-2.p                                                   | Unsatisfiable      | 0.00 v2.0.0  | Unsatisfiable (0.023s)
SYN085-1.010.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.018s)
SYN086-1.003.p                                               | Satisfiable        | 0.00 v2.1.0  | GaveUp (0.043s)       
SYN087-1.003.p                                               | Satisfiable        | 0.00 v2.1.0  | GaveUp (0.202s)       
SYN088-1.010.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.054s)
SYN089-1.002.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.008s)
SYN090-1.008.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.040s)
SYN091-1.003.p                                               | Satisfiable        | 0.00 v2.1.0  | GaveUp (0.132s)       
SYN092-1.003.p                                               | Satisfiable        | 0.00 v2.1.0  | GaveUp (0.653s)       
SYN093-1.002.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.019s)
SYN094-1.005.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.194s)
SYN095-1.002.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.010s)
SYN096-1.008.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.147s)
SYN097-1.002.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.034s)
SYN098-1.002.p                                               | Unsatisfiable      | 0.33 v5.5.0  | Unsatisfiable (0.116s)
SYN099-1.003.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.020s)
SYN100-1.005.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.063s)
SYN101-1.002.002.p                                           | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.020s)
SYN102-1.007.007.p                                           | Unsatisfiable      | 0.00 v2.3.0  | Timeout (3.009s)      
SYN103-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.141s)
SYN104-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.135s)
SYN105-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.156s)
